"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"C10,C9";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"100nF";;;
2;"TP3,TP4,TP1,TP5,TP2";"TestPoint_Pad_D2.0mm";5;"TestPoint_Probe";;;
3;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"200k";;;
4;"C8";"CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder";1;"2.2uF";;;
5;"U5";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328PB-A";;;
6;"R2,R3,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"10k";;;
7;"R5,R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1k";;;
8;"C7,C1,C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"470pF";;;
9;"C2,C4,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"0.1uF";;;
10;"SW2,SW1";"SW_PUSH-12mm_Wuerth-430476085716";2;"SW_Push";;;
11;"SW3";"SW_PUSH_6mm_H5mm";1;"SW_Push";;;
12;"C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1uF";;;
13;"U2,U3";"DIP-16_W7.62mm";2;"74HC595";;;
14;"AFF1,AFF2";"7SegmentLED_LTS6760_LTS6780";2;"LTS-6960HR";;;
15;"SW4";"SW_E-Switch_EG1271_SPDT";1;"SW_SPST";;;
16;"Q1";"TO-92_Inline";1;"2N3904";;;
17;"U4";"SOT-23-5";1;"MIC5219-5.0YM5";;;
18;"U1";"21-0052F_MXM";1;"MAX2650EUS+T";;;
19;"J1";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
20;"D1";"D_SOD-323_HandSoldering";1;"D_Schottky";;;
21;"BT1";"BatteryHolder_Eagle_12BH611-GR";1;"Battery";;;
22;"J2";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Pin";;;
23;"R21,R20,R10,R7,R15,R22,R19,R17,R11,R9,R13,R16,R12,R18,R14,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";16;"R";;;
